Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Beacon Hill,1026714.0,2021,1,36,3,0,2,high
Beacon Hill,985239.0,2021,2,33,2,0,0,high
Beacon Hill,1024697.0,2021,2,33,2,0,0,high
Beacon Hill,983222.0,2021,3,58,2,0,2,high
Beacon Hill,1021408.0,2021,3,58,2,0,2,high
Beacon Hill,983681.0,2021,4,42,1,0,4,high
Beacon Hill,1024814.0,2021,4,42,1,0,4,high
Beacon Hill,981640.0,2021,5,34,3,0,1,high
Beacon Hill,1025481.0,2021,5,34,3,0,1,high
Beacon Hill,987333.0,2021,6,57,5,0,2,high
Beacon Hill,1029557.0,2021,6,57,5,0,2,high
Beacon Hill,990942.0,2021,7,47,3,0,4,high
Beacon Hill,1031040.0,2021,7,47,3,0,4,high
Beacon Hill,992637.0,2021,8,57,5,0,4,high
Beacon Hill,1032121.0,2021,8,57,5,0,4,high
Beacon Hill,988748.0,2021,9,52,3,0,3,high
Beacon Hill,1029521.0,2021,9,52,3,0,3,high
Brighton,430473.0,2015,6,135,18,5,9,low
Brighton,435303.0,2015,7,259,26,3,23,low
Brighton,439337.0,2015,8,254,32,3,29,low
Brighton,444624.0,2015,9,314,36,10,27,low
Brighton,447526.0,2015,10,284,32,8,22,low
Brighton,451519.0,2015,11,224,24,7,23,low
Brighton,456881.0,2015,12,268,32,10,40,low
Brighton,464863.0,2016,1,292,35,10,43,low
Brighton,467121.0,2016,2,284,28,15,27,low
Brighton,470729.0,2016,3,228,22,12,26,low
Brighton,469626.0,2016,4,248,32,3,22,low
Brighton,472327.0,2016,5,286,23,7,10,low
Brighton,473244.0,2016,6,273,21,9,16,low
Brighton,475618.0,2016,7,313,32,3,27,low
Brighton,479220.0,2016,8,269,35,0,29,low
Brighton,481360.0,2016,9,255,31,10,23,low
Brighton,483392.0,2016,10,275,37,1,24,low
Brighton,485895.0,2016,11,239,30,9,16,low
Brighton,487680.0,2016,12,284,27,5,20,low
Brighton,489242.0,2017,1,271,31,8,16,low
Brighton,492623.0,2017,2,249,28,4,15,low
Brighton,497747.0,2017,3,254,35,9,11,low
Brighton,503788.0,2017,4,245,17,11,14,medium
Brighton,507899.0,2017,5,337,45,12,21,medium
Brighton,511819.0,2017,6,325,35,13,20,medium
Brighton,516440.0,2017,7,303,22,11,11,medium
Brighton,520823.0,2017,8,262,24,8,13,medium
Brighton,523322.0,2017,9,349,34,9,27,medium
Brighton,524677.0,2017,10,337,34,17,30,medium
Brighton,526290.0,2017,11,291,33,19,18,medium
Brighton,527622.0,2017,12,295,30,9,24,medium
Brighton,529234.0,2018,1,263,40,13,26,medium
Brighton,531293.0,2018,2,220,19,14,28,medium
Brighton,535159.0,2018,3,284,38,13,12,medium
Brighton,539117.0,2018,4,245,16,8,10,medium
Brighton,543634.0,2018,5,338,35,19,14,medium
Brighton,547257.0,2018,6,333,30,13,16,medium
Brighton,549918.0,2018,7,285,31,11,13,medium
Brighton,550075.0,2018,8,342,32,14,16,medium
Brighton,550304.0,2018,9,309,27,14,22,medium
Brighton,550940.0,2018,10,299,23,7,9,medium
Brighton,552740.0,2018,11,283,17,17,13,medium
Brighton,553797.0,2018,12,268,31,8,6,medium
Brighton,547192.0,2019,9,20,0,0,4,medium
Brighton,547499.0,2019,10,297,19,1,36,medium
Brighton,546943.0,2019,11,268,22,0,30,medium
Brighton,547032.0,2019,12,250,16,0,33,medium
Brighton,546390.0,2020,1,304,23,0,24,medium
Brighton,549159.0,2020,2,219,15,0,28,medium
Brighton,551940.0,2020,3,275,12,1,27,medium
Brighton,554819.0,2020,4,224,15,0,22,medium
Brighton,555995.0,2020,5,253,19,0,20,medium
Brighton,556700.0,2020,6,267,11,3,24,medium
Brighton,557829.0,2020,7,311,13,2,29,medium
Brighton,561200.0,2020,8,317,15,0,25,medium
Brighton,566710.0,2020,9,330,22,2,27,medium
Brighton,572444.0,2020,10,361,15,3,39,medium
Brighton,576166.0,2020,11,242,15,0,33,medium
Brighton,577183.0,2020,12,268,14,0,30,medium
Brighton,576462.0,2021,1,249,13,4,26,medium
Brighton,576980.0,2021,2,216,18,1,23,medium
Brighton,575634.0,2021,3,258,14,2,26,medium
Brighton,577604.0,2021,4,262,18,0,33,medium
Brighton,579177.0,2021,5,249,17,2,20,medium
Brighton,584876.0,2021,6,284,17,6,31,medium
